S.No.,TempleID,TempleName,Address,City,District,ZipCode,Latitude,Longitude
16,TM000016,Sri Subramanya Swamy Temple,Swamy Vivekananda Road,Bangalore North,Bengaluru Urban,560008,12.9769879,77.6274515
17,TM000017,Sri Venugopala Krishna Swamy Temple,11Th Cross Road,Malleshwaram,Bengaluru Urban,560003,13.0018323,77.5702894
18,TM000018,Sri Lakshmi Narasimha Swamy Temple,15Th Cross 1St Temple,Malleshwaram,Bengaluru Urban,560003,13.0046692,77.5718648
19,TM000019,Sri Lakshmi Narasimha Swamy Temple,Balepete Main Road,Bengaluru North,Bengaluru Urban,560053,12.9739144,77.5751136
20,TM000020,Sri Kadu Malleshwara Swamy Temple,5Th Cross Sampige Road,Malleshwaram,Bengaluru Urban,560003,13.0051276,77.571716
21,TM000021,Kukke Shree Subrahmanya Temple,,Subrahamanya Post,Dakshina Kannada,574238,12.6636275,75.6158479
22,TM000022,Sri Mahaganapathi Temple,East Park Road,Malleshwaram,Bengaluru Urban,560003,13.0002695,77.5704371
23,TM000023,Sri Raghavendra Anjaneya Temple,East Park Road,Malleshwaram,Bengaluru Urban,560003,13.0035173,77.5704697
24,TM000024,Sri Champakadhamaswamy Temple,Bannerughatta Road,Anekal,Bengaluru Urban,560083,12.8136226,77.5762754
25,TM000025,Sri Banashankari Temple,S Kariyappa Road,Bengaluru South,Bengaluru Urban,560071,17.0711874,76.4158129
26,TM000026,Minto Shri Anjaneyaswamy Temple,Chamarajpet,Bengaluru South,Bengaluru Urban,560018,12.9551501,77.5757886
27,TM000027,Sri Dattatreya Temple,Afazalpura,Kalaburgi,Kalaburagi,585212,17.1811347,76.5251798
28,TM000028,Sri Kshetra Jharni Narasimha Swamy Temple,Malkapur Road,Bidar,Bidar,585401,17.9030761,77.5438531
29,TM000029,Sri Mahalingeshwara Mahaganapathi Temple,Kelagina Pete,Padubidri,Udupi,574111,13.1340831,74.7700271
30,TM000030,Sri Veerabhadreshwar Temple,Changler,Bidar,Bidar,585227,17.6302782,77.3862724
31,TM000031,Sri Kshetra Mailar Mallanna Khandoba Temple,Khanapur,Bidar,Bidar,585327,17.915498,76.9873477
32,TM000032,Sri Siddeswar Temple,Honnekeri,Bidar,Bidar,585402,17.9926151,77.4472495
33,TM000033,Sri Mallikarjuna Temple,Thodikana,Dakshina Kannada,Dakshina Kannada,574314,12.47553,75.480238
34,TM000034,Sri Mahalingeshwara Temple,Puttur,Dakshina Kannada,Dakshina Kannada,574201,12.7631833,75.2000642
35,TM000035,Sri Durgaparameshwari Temple,Kateel,Dakshina Kannada,Dakshina Kannada,574148,13.043881,74.8700804
36,TM000036,Sri Durgaparameshwari Temple,Mandarthi,Udupi,Udupi,576223,13.4979213,74.810467
37,TM000037,Sri Revana Siddeshwara Temple,Kailancha,Ramanagar,Ramanagara,562117,12.7208614,77.2798963
38,TM000038,Sri Durgaparameshwari Temple,Bappanadu,Dakshina Kannada,Dakshina Kannada,574154,13.0950036,74.7861651
39,TM000039,Sri Nimishamba Temple,Ganjam,Mandya,Mandya,571477,12.4187565,76.710678
40,TM000040,Sri Rajarajeshwari Temple,Polali,Dakshina Kannada,Dakshina Kannada,574219,12.9339956,74.9553666
41,TM000041,Sri Mahalingeshwara Temple,Bantwal,Dakshina Kannada,Dakshina Kannada,574211,12.8949362,75.041538
42,TM000042,Sri Vinayaka Shankaranarayana Durgamba Temple,Nandavara,Dakshina Kannada,Dakshina Kannada,574231,12.8704351,75.0368833
43,TM000043,Sri Mahalingeshwara Temple,Pandeshwara,Dakshina Kannada,Dakshina Kannada,575001,12.8568179,74.837946
44,TM000044,Sri Mariyamma Mahishamardini Temple,Bolara,Dakshina Kannada,Dakshina Kannada,575001,12.8891303,74.829695
45,TM000045,Sri Somanatha Temple,Someshwara,Dakshina Kannada,Dakshina Kannada,575022,12.7945687,74.8799518
46,TM000046,Panolibail Sri Kallurti Daivastana,Sajeepamooda,Dakshina Kannada,Dakshina Kannada,574231,12.8470839,75.0340538
47,TM000047,Sri Manjunatha Temple,Kadri,Dakshina Kannada,Dakshina Kannada,575002,12.8857411,74.8554198
48,TM000048,Sri Anantha Padmanabha Temple,Kudupu,Dakshina Kannada,Dakshina Kannada,575028,12.9040749,74.893608
49,TM000049,Sri Mahalingeshwara Temple,Kavoor,Dakshina Kannada,Dakshina Kannada,575015,12.918421,74.8588486
50,TM000050,Sri Mahagapathi Temple,Katipalla,Dakshina Kannada,Dakshina Kannada,575030,12.9942285,74.8344926
51,TM000051,Sri Gangadhareshwara Swamy And Honnadevi Temple,Shivagange,Bengaluru Rural,Bengaluru Rural,562111,13.1786764,77.2263673
52,TM000052,Sri Bylanjaneya Swamy Temple,Byrashetti,Bengaluru Rural,Bengaluru Rural,562123,13.1499653,77.4100246
53,TM000053,Sri Hosamarigudi Temple,Kapu,Udupi,Udupi,574106,13.2371016,74.7464033
54,TM000054,Sri Mahishamardini Temple,Neelavar,Udupi,Udupi,576213,13.4549447,74.7846696
55,TM000055,Sri Vishweshwara Temple,Yellur,Udupi,Udupi,574113,13.1810845,74.7975925
